Subcellular.Location	Entry	Gene.Name	Protein.Names
TM.protein	Q5W0N0	C9orf57	CI057_HUMAN
TM.protein	Q13323	BIK	BIK_HUMAN
TM.protein	Q07817	BCL2L1	B2CL1_HUMAN
TM.protein	O43169	CYB5B	CYB5B_HUMAN
TM.protein	Q9NNZ3	DNAJC4	DNJC4_HUMAN
TM.protein	Q09013	DMPK	DMPK_HUMAN
TM.protein	Q96DB9	FXYD5	FXYD5_HUMAN
TM.protein	Q9NYJ7	DLL3	DLL3_HUMAN
TM.protein	Q9H0Q3	FXYD6	FXYD6_HUMAN
TM.protein	P58549	FXYD7	FXYD7_HUMAN
TM.protein	P52429	DGKE	DGKE_HUMAN
TM.protein	Q69YU5	BRAWNIN	UQCC6_HUMAN
TM.protein	O60488	ACSL4	ACSL4_HUMAN
TM.protein	Q0VDE8	ADIG	ADIG_HUMAN
TM.protein	Q9BQD7	ANTKMT	ANKMT_HUMAN
TM.protein	Q8N2F6	ARMC10	ARM10_HUMAN
TM.protein	Q96I36	COX14	COX14_HUMAN
TM.protein	P08684	CYP3A4	CP3A4_HUMAN
TM.protein	Q8NBF6	AVL9	AVL9_HUMAN
TM.protein	Q96IX5	ATP5MK	ATPMK_HUMAN
TM.protein	Q9BXK5	BCL2L13	B2L13_HUMAN
TM.protein	Q8NI28	LINC01006	R32DT_HUMAN
TM.protein	Q8N5K1	CISD2	CISD2_HUMAN
TM.protein	Q8N1N2	DYNAP	DYNAP_HUMAN
TM.protein	Q4LDR2	CTXN3	CTXN3_HUMAN
TM.protein	Q6P4H8	ATPSCKMT	ACKMT_HUMAN
TM.protein	O00238	BMPR1B	BMR1B_HUMAN
TM.protein	Q9HD36	BCL2L10	B2L10_HUMAN
TM.protein	Q8NER5	ACVR1C	ACV1C_HUMAN
TM.protein	Q5U4P2	ASPHD1	ASPH1_HUMAN
TM.protein	Q4G0I0	CCSMST1	UQCC4_HUMAN
TM.protein	Q7Z4L0	COX8C	COX8C_HUMAN
TM.protein	Q6UW02	CYP20A1	CP20A_HUMAN
TM.protein	P09669	COX6C	COX6C_HUMAN
TM.protein	A0A0D9SF12	CCDC163	CC163_HUMAN
TM.protein	Q9P0B6	CCDC167	CC167_HUMAN
TM.protein	A6NFR6	C5orf60	CE060_HUMAN
TM.protein	P01732	CD8A	CD8A_HUMAN
TM.protein	P0DN84	STRIT1	DWORF_HUMAN
TM.protein	Q9Y442	YWHAH-AS1	CV024_HUMAN
TM.protein	P24310	COX7A1	CX7A1_HUMAN
TM.protein	P14406	COX7A2	CX7A2_HUMAN
TM.protein	Q9Y2H6	FNDC3A	FND3A_HUMAN
TM.protein	Q9BV23	ABHD6	ABHD6_HUMAN
TM.protein	Q9NYM9	BET1L	BET1L_HUMAN
TM.protein	O14523	C2CD2L	C2C2L_HUMAN
TM.protein	Q5T7M9	DIPK1A	DIK1A_HUMAN
TM.protein	Q9HD87	C6orf50	CF050_HUMAN
TM.protein	O95476	CTDNEP1	CNEP1_HUMAN
TM.protein	Q9UNU6	CYP8B1	CP8B1_HUMAN
TM.protein	P0CG41	CTAGE8	CTGE8_HUMAN
TM.protein	A0A1B0GTU2	CTXND1	CTXD1_HUMAN
TM.protein	Q14318	FKBP8	FKBP8_HUMAN
TM.protein	A2A2Y4	FRMD3	FRMD3_HUMAN
TM.protein	Q9NRX6	TMEM167B	KISHB_HUMAN
TM.protein	Q86X29	LSR	LSR_HUMAN
TM.protein	Q5T700	LDLRAD1	LRAD1_HUMAN
TM.protein	O95237	LRAT	LRAT_HUMAN
TM.protein	Q96JN2	CCDC136	CC136_HUMAN
TM.protein	P27338	MAOB	AOFB_HUMAN
TM.protein	Q86U02	LINC00596	CN165_HUMAN
TM.protein	Q7L311	ARMCX2	ARMX2_HUMAN
TM.protein	Q9P291	ARMCX1	ARMX1_HUMAN
TM.protein	Q7L4S7	ARMCX6	ARMX6_HUMAN
TM.protein	P10415	BCL2	BCL2_HUMAN
TM.protein	Q6UXE8	BTNL3	BTNL3_HUMAN
